fecha_hora,consentimiento,edad,genero,vinculo_universidad,ha_donado,frecuencia_donacion,causa_donacion,donaria,monto_donacion,confianza_campana,prob_llegada_recursos,compartiria_campana,razon_donacion,confianza_alcaldias,confianza_gobierno,confianza_ong,confianza_universidades,confianza_religiosa,confianza_empresas,capacidad_institucion,liderazgo_institucion,experiencia_emergencia
3/9/2026 13:37:06,acepto participar,18,masculino,estudiante,"no, ninguna de las anteriores",nunca,educacion,si," $ 45,000.00 ",5,40 - 60,si,para ayudar a la gente,4,4,2,5,2,7,empresas Privadas,empresas Privadas,no
3/9/2026 13:37:49,acepto participar,20,masculino,estudiante,"si, bienes",ocasional (2-4 veces al ano),desastres,si," $ 50,000.00 ",6,60 - 80,tal vez,"donaria pues hace parte de mis creencias religiosas y personales, pero ante una campana no confiable, me replantearia si donar o no.",7,1,1,10,10,10,gobierno nacional,alcaldias,no
3/9/2026 13:40:55,acepto participar,19,masculino,estudiante,"si, ambas",ocasional (2-4 veces al ano),animales,si," $ 40,000.00 ",7,60 - 80,tal vez,Para ayudar a las personas afectadas ,8,6,6,10,4,5,gobierno nacional,gobierno nacional,no
3/9/2026 13:55:51,acepto participar,18,masculino,estudiante,"no, ninguna de las anteriores",nunca,no aplica,no, $ -   ,5,40 - 60,tal vez,no tengo plata,5,5,5,6,2,5,empresas Privadas,gobierno nacional,no
3/9/2026 14:05:43,acepto participar,72,masculino,docente,"si, ambas",ocasional (2-4 veces al ano),salud,no, $ -   ,8,80 - 100,si,Confianza y solidaridad,1,0,4,1,0,6,gobierno nacional,gobierno nacional,no
3/9/2026 14:14:22,acepto participar,19,femenino,estudiante,"si, bienes",rara vez (1 vez al ano),salud,si, $ -   ,8,80 - 100,tal vez,donaria si son puntos de sitios como cruz roja o organizaciones conocidas que literalmente se dediquen a ello,8,9,9,9,9,8,alcaldias,alcaldias,no
3/9/2026 14:14:39,acepto participar,22,femenino,estudiante,"si, ambas",ocasional (2-4 veces al ano),emergencias,si," $ 40,000.00 ",10,40 - 60,si,"Por que mi carrera me lo pide, y tambien me nace hacerlo
",5,6,8,8,8,8,gobierno nacional,alcaldias,si
3/9/2026 14:20:03,acepto participar,20,masculino,estudiante,"si, bienes",ocasional (2-4 veces al ano),desastres,si," $ 50,000.00 ",8,60 - 80,tal vez,Para ayudar a las personas que pasan por una situacion de emergencia,5,2,2,8,2,8,empresas Privadas,gobierno nacional,no
3/9/2026 14:30:23,acepto participar,19,femenino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,no, $ -   ,10,60 - 80,tal vez,"no donaria dinero porque muchas veces no se destina a la causa, donaria bienes",8,7,7,9,8,7,alcaldias,alcaldias,no
3/9/2026 14:32:32,acepto participar,20,femenino,estudiante,"si, ambas",rara vez (1 vez al ano),animales,si," $ 45,000.00 ",5,60 - 80,si,donaria porque puedo ayudar a quienes no tienen recursos ,4,8,7,9,0,5,gobierno nacional,gobierno nacional,no
3/9/2026 14:44:09,acepto participar,19,masculino,estudiante,"si, tiempo (voluntariado)",rara vez (1 vez al ano),otra,si, $ -   ,4,40 - 60,tal vez,seguridad en que llegue lo donado,8,9,9,9,10,8,ong,gobierno nacional,no
3/9/2026 15:25:10,acepto participar,19,masculino,estudiante,"no, ninguna de las anteriores",ocasional (2-4 veces al ano),otra,si," $ 50,000.00 ",6,60 - 80,no,Por los demas ayudaria,3,2,3,2,1,3,empresas Privadas,gobierno nacional,no
3/9/2026 16:28:04,acepto participar,20,masculino,estudiante,"no, ninguna de las anteriores",rara vez (1 vez al ano),educacion,si," $ 30,000.00 ",7,60 - 80,tal vez,Quizas por mis valores como solidaridad y empatia por el entorno en que creci ,8,8,9,7,6,8,gobierno nacional,empresas Privadas,no
3/9/2026 16:29:58,acepto participar,20,femenino,estudiante,"no, ninguna de las anteriores",nunca,no aplica,si," $ 35,000.00 ",7,60 - 80,tal vez,no donaria porque no trabajo. ,4,4,8,8,4,0,ong,gobierno nacional,no
3/9/2026 17:13:16,acepto participar,21,femenino,estudiante,"si, bienes",rara vez (1 vez al ano),emergencias,si," $ 40,000.00 ",9,60 - 80,si,Para ayudar personas que realmente estan necesitando bienes para su subsistencia. ,1,3,2,3,4,1,gobierno nacional,gobierno nacional,no
3/9/2026 18:53:44,acepto participar,20,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),emergencias,si," $ 30,000.00 ",7,60 - 80,si,Porque es gente que necesita ayuda y que yo tengo la posibilidad de ayudar ,8,5,5,8,6,6,gobierno nacional,gobierno nacional,no
4/9/2026 8:50:22,acepto participar,18,femenino,estudiante,"no, ninguna de las anteriores",rara vez (1 vez al ano),emergencias,si," $ 50,000.00 ",10,40 - 60,si,"Yo donaria para ayudar a las personas que realmente lo necesiten, en momentos de calamidades es importante apoyarnos como sociedad",2,2,3,2,3,1,gobierno nacional,gobierno nacional,si
4/9/2026 9:19:24,acepto participar,20,femenino,ninguno,"si, bienes",rara vez (1 vez al ano),otra,si," $ 20,000.00 ",8,60 - 80,si,donaria porque la gente necesita esa ayuda y yo desde mi posicion se la puedo dar ,6,5,7,5,7,7,ong,ong,si
