Marca temporal,"0. Consentimiento: 
""Esta encuesta es voluntaria, anónima y de uso exclusivamente académico. No se recolectan nombres, documentos, correos ni datos que permitan identificarte. Al continuar aceptas participar.""",¿Cuál es tu edad,¿Con que género te identificas?,¿Cuál es tu vinculo con la Universidad del Rosario?,"En los últimos 12 meses, ¿has donado bienes o tiempo a alguna causa?  ","Aproximadamente, ¿con qué frecuencia donas?  ",¿A qué tipo de causa has donado principalmente?  ,"Ante la campaña descrita, ¿donarías?  ",¿Cuánto estarías dispuesto a donar? (COP Rango= 0 - 50.000$  ),"En una escala de 0 a 10, ¿qué tan confiable te parece esta campaña?  ",¿Qué probabilidad crees que hay de que los recursos lleguen efectivamente a las familias afectadas? (0% a 100%)  ,¿Compartirías esta campaña con otras personas?  ,"En una frase, ¿cuál es la razón principal por la que donarías o no donarías?  ","¿Qué tanta confianza te genera cada institución? (0 = ninguna confianza, 10 = total confianza) [Alcaldías]","¿Qué tanta confianza te genera cada institución? (0 = ninguna confianza, 10 = total confianza) [Gobierno Nacional]","¿Qué tanta confianza te genera cada institución? (0 = ninguna confianza, 10 = total confianza) [ONG]","¿Qué tanta confianza te genera cada institución? (0 = ninguna confianza, 10 = total confianza) [Universidades]","¿Qué tanta confianza te genera cada institución? (0 = ninguna confianza, 10 = total confianza) [Organización religiosa]","¿Qué tanta confianza te genera cada institución? (0 = ninguna confianza, 10 = total confianza) [Empresas privadas]",¿Cuál institución crees que tiene mayor capacidad técnica y logística para responder ante una emergencia como esta?  ,"En tu opinión, ¿qué institución debería liderar la coordinación de la respuesta ante esta emergencia?  ","¿Has tenido alguna experiencia, propia o cercana, con el manejo de una emergencia anterior por parte de alguna de estas instituciones?"
3/9/2026 13:37:06,Acepto participar,18,Masculino,Estudiante,"No, ninguna de las anteriores",Nunca,Educación,Sí," $ 45,000.00 ",5,40 - 60,Sí,para ayudar a la gente,4,4,2,5,2,7,Empresas Privadas,Empresas Privadas,No
3/9/2026 13:37:49,Acepto participar,20,Masculino,Estudiante,"Sí, bienes",Ocasional (2-4 veces al año),Desastres,Sí," $ 50,000.00 ",6,60 - 80,Tal vez,"Donaría pues hace parte de mis creencias religiosas y personales, pero ante una campaña no confiable, me replantearía si donar o no.",7,1,1,10,10,10,Gobierno Nacional,Alcaldías,No
3/9/2026 13:40:55,Acepto participar,19,Masculino,Estudiante,"Sí, ambas",Ocasional (2-4 veces al año),Animales,Sí," $ 40,000.00 ",7,60 - 80,Tal vez,Para ayudar a las personas afectadas ,8,6,6,10,4,5,Gobierno Nacional,Gobierno Nacional,No
3/9/2026 13:55:51,Acepto participar,18,Masculino,Estudiante,"No, ninguna de las anteriores",Nunca,No aplica,No, $ -   ,5,40 - 60,Tal vez,No tengo plata,5,5,5,6,2,5,Empresas Privadas,Gobierno Nacional,No
3/9/2026 14:05:43,Acepto participar,72,Masculino,Docente,"Sí, ambas",Ocasional (2-4 veces al año),Salud,No, $ -   ,8,80 - 100,Sí,Confianza y solidaridad,1,0,4,1,0,6,Gobierno Nacional,Gobierno Nacional,No
3/9/2026 14:14:22,Acepto participar,19,Femenino,Estudiante,"Sí, bienes",Rara vez (1 vez al año),Salud,Sí, $ -   ,8,80 - 100,Tal vez,Donaría si son puntos de sitios como cruz roja o organizaciones conocidas que literalmente se dediquen a ello,8,9,9,9,9,8,Alcaldías,Alcaldías,No
3/9/2026 14:14:39,Acepto participar,22,Femenino,Estudiante,"Sí, ambas",Ocasional (2-4 veces al año),Emergencias,Sí," $ 40,000.00 ",10,40 - 60,Sí,"Por que mi carrera me lo pide, y también me nace hacerlo
",5,6,8,8,8,8,Gobierno Nacional,Alcaldías,Sí
3/9/2026 14:20:03,Acepto participar,20,Masculino,Estudiante,"Sí, bienes",Ocasional (2-4 veces al año),Desastres,Sí," $ 50,000.00 ",8,60 - 80,Tal vez,Para ayudar a las personas que pasan por una situación de emergencia,5,2,2,8,2,8,Empresas Privadas,Gobierno Nacional,No
3/9/2026 14:30:23,Acepto participar,19,Femenino,Estudiante,"Sí, bienes",Rara vez (1 vez al año),Desastres,No, $ -   ,10,60 - 80,Tal vez,"No donaría dinero porque muchas veces no se destina a la causa, donaría bienes",8,7,7,9,8,7,Alcaldías,Alcaldías,No
3/9/2026 14:32:32,Acepto participar,20,Femenino,Estudiante,"Sí, ambas",Rara vez (1 vez al año),Animales,Sí," $ 45,000.00 ",5,60 - 80,Sí,Donaría porque puedo ayudar a quienes no tienen recursos ,4,8,7,9,0,5,Gobierno Nacional,Gobierno Nacional,No
